	corr	p2tailed	p2tailed_adj	p2tailed_adj_bool	all_criteria_met
FBXL12	0.41938201669465175	1.4194826921555757e-15		True	True
FBXL14	0.31956395916588426	2.5579830354696064e-09		True	True
FBXL18	0.27617317024858506	3.172244467329437e-07		True	True
FBXL21	-0.006979893758575279	0.8991765878520004		False	False
FBXL22	0.13947887340860757	0.010950036536577347		True	True
FBXL5	0.22600880494764414	3.23231906784322e-05		True	True
FBXL8	0.35651231275542383	2.1916600289916855e-11		True	True
FBXO10	0.14381946054771655	0.008683027762493413		True	True
FBXO16	0.4674978076298018	1.9784648186906379e-19		True	True
FBXO17	0.28663284680649637	1.0669624894013918e-07		True	True
FBXO18	0.5905621614344817	1.366317942761989e-32		True	True
FBXO2	0.12414856706526056	0.0236775301566416		True	True
FBXO21	0.1579596312580431	0.003908640141885472		True	True
FBXO22	0.42334588767546233	7.196558099832597e-16		True	True
FBXO24	0.13273752401219352	0.01551242853778457		True	True
FBXO27	0.21383856102670937	8.595905424235623e-05		True	True
FBXO28	0.5885592649128035	2.491131120996585e-32		True	True
FBXO3	0.21600498839652515	7.25100980239353e-05		True	True
FBXO30	0.23212163430270438	1.9373101822876816e-05		True	True
FBXO32	0.1785588562035535	0.001084925893162781		True	True
FBXO33	0.30058479599978655	2.324095918848018e-08		True	True
FBXO36	0.1895204859352283	0.0005171379357290319		True	True
FBXO39	0.014051692754445847	0.7986605664180373		False	False
FBXO4	0.07985579856810315	0.146536755358618		False	False
FBXO40	0.05727846798862986	0.29806977485864516		False	False
FBXO41	0.3117766297934932	6.446790161653255e-09		True	True
FBXO43	0.18345929987775791	0.0007830122033133291		True	True
FBXO44	0.16575550382862003	0.0024471294724398712		True	True
FBXO45	0.3739581044733258	1.8493198417010544e-12		True	True
FBXO46	0.17082477965114107	0.001785146100357182		True	True
FBXO48	0.2585728494266584	1.796152884696663e-06		True	True
FBXO5	0.2445036803409284	6.579571525346995e-06		True	True
FBXO6	0.1924448715479853	0.0004214019178279918		True	True
FBXO7	0.4988168930151561	2.744572587719663e-22		True	True
FBXO8	0.2708850087477205	5.410733441062123e-07		True	True
FBXO9	0.09404413026558318	0.08710023904310084		False	False
FBXW10	0.2582251630493285	1.856438638966537e-06		True	True
FBXW12	0.1037637454187909	0.058940669849620105		False	False
FBXW2	0.3970341689208052	5.5494642801113703e-14		True	True
FBXW4	0.3485336694852401	6.46375790108672e-11		True	True
FBXW5	0.3819919712725256	5.628500658008052e-13		True	True
FBXW7	0.1996154263990898	0.0002518675274867401		True	True
FBXW8	0.23517867878268006	1.491914644947864e-05		True	True
FBXW9	0.3156472929153061	4.085562550536114e-09		True	True
FCAR	0.07965232382742941	0.1475716466444462		False	False
FCER1A	-0.05895446174165348	0.28413264741492855		False	False
FCER1G	-0.05395923499219524	0.32699226970292994		False	False
FCER2	0.17087554462614332	0.0017794383602617813		True	True
FCF1	0.297950062025452	3.1186987038202634e-08		True	True
FCGBP	0.03965515545258349	0.4714576130688427		False	False
FCGRT	0.21450636577419224	8.15817344826949e-05		True	True
FCHO2	0.2504941205259543	3.8210758316947015e-06		True	True
FCHSD1	0.19700072184741743	0.0003045025875183974		True	True
FCN1	0.06913809591672207	0.20893155937021085		False	False
FCN2	-0.07256780496672682	0.18716879545141854		False	False
FCN3	-0.04763782125826373	0.3869180624014621		False	False
FCRL1	-0.015926638470960146	0.7724887867002898		False	False
FCRL3	-0.022453556200382998	0.6835441511588254		False	False
FCRL5	-0.09158296491299235	0.09572736185562819		False	False
FCRL6	0.17267052847434342	0.0015880418246425664		True	True
FCRLA	-0.1365254305565446	0.01277795667420245		True	False
FCRLB	0.11750647058100377	0.03232124565151259		False	False
FDX1	0.3064851789172954	1.1900563134802641e-08		True	True
FDX1L	0.336974077235876	2.937037781270267e-10		True	True
FDXACB1	0.17191126258797332	0.0016665736965405004		True	True
FDXR	0.16374679679428147	0.002766301987603072		True	True
FECH	0.17246993893004872	0.0016084525968700272		True	True
FEN1	0.37543108788745855	1.490573870721143e-12		True	True
FER1L4	0.07778759911468608	0.15731629047192705		False	False
FERMT2	0.14742282722195377	0.007128989631938028		True	True
FES	0.07054186491130436	0.19981322691382433		False	False
FETUB	-0.10085038107503853	0.06645642735083918		False	False
FEZ1	0.13295953764233373	0.015339045764417162		True	True
FEZ2	0.2948399725612994	4.396368378020713e-08		True	True
FEZF1	0.056871579006886566	0.30152079896920186		False	False
FEZF2	0.046669358662727506	0.3966546904805043		False	False
FFAR1	0.245049976461569	6.265022107713161e-06		True	True
FFAR2	0.06360478114035947	0.24779005513000613		False	False
FFAR3	0.0760256666964123	0.16696254169795754		False	False
FGA	0.0019498103161260684	0.9717661480568345		False	False
FGB	-0.025452277208861042	0.6440179967017502		False	False
FGD3	0.11102762680694606	0.043213141514601705		False	False
FGF1	0.02194404396723843	0.6903505015817493		False	False
FGF10	-0.07223930837179918	0.18917807288054503		False	False
FGF11	0.10061879199564128	0.0670861500855947		False	False
FGF12	0.32522632165752036	1.2843547607380673e-09		True	True
FGF16	0.019893832539426965	0.717986207349657		False	False
FGF17	0.06822469976089283	0.21502356673904857		False	False
FGF18	-0.06432661523125192	0.24245318587768316		False	False
FGF19	-0.03793038073385481	0.49097073406996816		False	False
FGF20	0.17914983537067244	0.0010435413532535534		True	True
FGF21	0.05888218313039407	0.28472448412332124		False	False
FGF22	0.1248723399322648	0.02286907650618945		True	True
FGF23	0.023001644640414546	0.6762509665771849		False	False
FGF3	-0.009639985544355726	0.8610871101257335		False	False
FGF6	0.03978412085167247	0.4700158779954724		False	False
FGFBP1	0.18575421529634242	0.0006702015994970892		True	True
FGFBP2	-0.036305601683296926	0.5097404241670294		False	False
FGFR4	-0.006851319673546252	0.9010242175723242		False	False
FGG	0.012895034880171463	0.8149211017213887		False	False
FGL1	0.23161905212082737	2.0216487629649656e-05		True	True
FGL2	0.04511848248696497	0.4125498966332479		False	False
FH	0.5876165096545846	3.3002637120263453e-32		True	True
FHDC1	-0.0606057177772407	0.27083735347155957		False	False
FHL1	0.06893001737909024	0.21030829439652515		False	False
FHL3	0.10791951626115914	0.049447544146139374		False	False
FHL5	-0.02451412359519186	0.6562830250661308		False	False
FIBIN	0.009848198037297128	0.8581181000032646		False	False
FICD	0.13384998892265637	0.014660592416120385		True	True
FIGLA	-0.0014209991920771457	0.9794214905575847		False	False
FIGN	0.31791036274266116	3.1196877839256313e-09		True	True
FIGNL1	0.18069816460759106	0.0009419137976739825		True	True
FIGNL2	0.09920443956928182	0.07103887113200631		False	False
FIS1	0.35273017519999167	3.6734598400455845e-11		True	True
FITM1	0.21009858561653164	0.00011484621719692729		True	True
FIZ1	0.3257699362496663	1.2012460576179303e-09		True	True
FJX1	0.20636232854586614	0.00015262627174233767		True	True
FKBP10	-0.034655721857845316	0.5291757428553935		False	False
FKBP11	-0.05998793404176582	0.2757609489076277		False	False
FKBP14	0.1454214575447149	0.007958321527992715		True	True
FKBP1AP1	0.12065208952719407	0.02793984125350559		True	True
FKBP1B	0.3335362911900174	4.552432741768487e-10		True	True
FKBP3	0.21838082363648506	6.004947998710364e-05		True	True
FKBP4	0.3836791799599032	4.365978776856798e-13		True	True
FKBP6	-0.020420248088994158	0.7108535634170096		False	False
FKBP7	0.02758730374806247	0.6164667777855765		False	False
FKRP	0.3585225014550334	1.660896635154843e-11		True	True
FKSG29	-0.014008753656842201	0.799262708865351		False	False
FLAD1	0.6491549120760253	4.172616744790516e-41		True	True
FLCN	0.35036791841456316	5.0543521636240164e-11		True	True
FLG2	0.08293231065248373	0.13155500130600775		False	False
FLI1	0.08120440058253593	0.13981684633238362		False	False
FLII	0.3034147541224393	1.6890476151490255e-08		True	True
FLJ10038	0.2076301641088935	0.0001386633248092009		True	True
FLJ13224	0.1753093020896864	0.0013407472705152489		True	True
FLJ16779	0.14780539820034266	0.0069795536866026926		True	True
FLJ23867	0.11518417748773539	0.035920431699703284		False	False
FLJ25758	0.026995574844112927	0.6240511562313555		False	False
FLJ30679	0.17833289252050252	0.0011011449049440074		True	True
FLJ33360	0.09225266989083014	0.09331504752825087		False	False
FLJ34503	0.07100582534244325	0.19686408761914698		False	False
FLJ36777	0.07817890098478261	0.15523220314065897		False	False
FLJ37201	0.15543104352902662	0.0045300785678168785		True	True
FLJ37453	0.15079273078695055	0.005905727513932002		True	True
FLJ41941	-0.04989196287360799	0.36482436747591585		False	False
FLJ42393	0.18225168308118	0.0008491882054409817		True	True
FLJ42627	0.16392922783384295	0.0027358248972327716		True	True
FLJ45079	0.04809744685611539	0.38234836237567227		False	False
FLNC	0.02444843695880431	0.6571452987869575		False	False
FLOT1	0.2803446971264721	2.0652366919072365e-07		True	True
FLRT2	0.08044843976629597	0.1435540154192017		False	False
FLRT3	0.14699788496938537	0.0072983223597111605		True	True
FLT1	-0.08993927008490978	0.10185892276539095		False	False
FLT3	0.16198076513930068	0.0030776976012939655		True	True
FLT3LG	0.2228731047676232	4.180406517344174e-05		True	True
FLVCR1	0.5332739898344528	8.603282700397912e-26		True	True
FLYWCH2	0.3371808349281075	2.860139693838713e-10		True	True
FMN1	0.20171538955973273	0.0002158822538494083		True	True
FMNL1	0.1325322905146228	0.01567423138924284		True	True
FMO1	-0.09228187320720509	0.09321097064722234		False	False
FMO2	-0.090625677910137	0.09926156266220625		False	False
FMO3	-0.019361445017149367	0.7252247374414689		False	False
FMO4	0.12662975706055363	0.021004721701390082		True	True
FMO6P	-0.033992143931454805	0.5370970567938156		False	False
FMO9P	0.012313308206372844	0.8231297025573604		False	False
FMOD	0.17858111407949415	0.001083340245613359		True	True
FMR1	0.10597247409874784	0.053723054870102406		False	False
FMR1NB	0.03782314326636101	0.49219805826357266		False	False
FN1	0.12165583765035363	0.02665361552113169		True	True
FN3KRP	0.4428783303247884	2.2157686532680068e-17		True	True
FNDC4	0.2376111827489714	1.2088608869971021e-05		True	True
FNDC5	0.2840076983504502	1.4084741128922586e-07		True	True
FNDC7	0.06260421006385347	0.25532228851489064		False	False
FOLH1	-0.014910240881512717	0.7866464619917878		False	False
FOLR2	-0.04959122959016069	0.3677257568260479		False	False
FOLR3	0.15768762528494898	0.003971577039346331		True	True
FOS	0.0197349878221501	0.7201433146292617		False	False
FOSB	-0.0292489867776359	0.5953872543436645		False	False
FOSL2	0.27164251395189437	5.015790181153265e-07		True	True
FOXA1	0.023572852417783712	0.668682194714205		False	False
FOXA2	-0.2658426212253896	8.908945250385134e-07		True	False
FOXA3	-0.010117369308861016	0.8542828115664772		False	False
FOXB1	0.05900352825484725	0.2837313502973981		False	False
FOXB2	0.09725427942062218	0.07679866678931846		False	False
FOXC1	0.10529650257063772	0.05527747930412471		False	False
FOXC2	0.0530321896222407	0.3353839204724961		False	False
FOXD1	0.0851009840446313	0.12172488768580426		False	False
FOXD2	-0.05579024913969676	0.31082031210951616		False	False
FOXD3	0.12647122826325652	0.02116730849576436		True	True
FOXE3	0.11611281675536277	0.0344423090048352		False	False
FOXF1	0.15771595821764153	0.003964978875696929		True	True
FOXF2	-0.07445398864363659	0.1759346734548796		False	False
FOXG1	0.14232227816735982	0.009412794581354602		True	True
FOXI1	0.08685899496527656	0.11418386312291627		False	False
FOXI2	0.030449662389573882	0.5803627632382762		False	False
FOXI3	0.24271373946907462	7.718947785672336e-06		True	True
FOXJ1	0.11181694189309194	0.04173963879685652		False	False
FOXL1	0.1047175079474286	0.05663840147629317		False	False
FOXL2	-0.12520592702562067	0.02250456902016071		True	False
FOXM1	0.3467449137581211	8.203338408036028e-11		True	True
FOXN2	0.20631360446681496	0.00015318831087125014		True	True
FOXN4	0.1377204876682253	0.012008220186649788		True	True
FOXO3B	-0.022748904529333577	0.6796103687878949		False	False
FOXO4	0.03506078766739031	0.5243696085366104		False	False
FOXP4	0.2901402917610886	7.329638320766361e-08		True	True
FOXQ1	-0.03287370980446605	0.5505810173259653		False	False
FOXR2	0.08760386775437902	0.11110128607692975		False	False
FOXRED1	0.3077090696842567	1.0338528737615917e-08		True	True
FOXRED2	0.2624517111978948	1.238778054560176e-06		True	True
FOXS1	-0.10857185534397393	0.04808020337581353		False	False
FPGT	0.03879514838588867	0.48113363551032606		False	False
FPR1	0.03872841454203854	0.48188893797682253		False	False
FPR2	0.0614788473976247	0.263981541151934		False	False
FPR3	0.14238486279110552	0.009381231202173674		True	True
FRAT2	0.3446232553163177	1.0862061674947537e-10		True	True
FREM1	0.1298823056445964	0.01790001317692158		True	True
FRG2C	0.09732016829691272	0.07659805997095781		False	False
FRMD7	0.05396587667845451	0.32693264287561286		False	False
FRRS1	0.06484648157746846	0.23865975391887675		False	False
FSCB	0.007771265323826586	0.8878168015138663		False	False
FSD2	-0.008307504251180623	0.8801322028462477		False	False
FST	-0.03451618376214285	0.5308365227893759		False	False
FSTL1	0.084405304836416	0.12481392917336398		False	False
FSTL3	-0.08783824386533354	0.1101449897057821		False	False
FTCD	0.019079059704413873	0.7290741397660354		False	False
FTL	0.16540491290087198	0.002500299104122915		True	True
FTLP10	0.060036420938087164	0.2753723354500201		False	False
FTMT	0.13122521124583209	0.016739814437646647		True	True
FTSJ1	0.13082568559192254	0.01707791394279275		True	True
FTSJ3	0.352480885891493	3.7997514034809516e-11		True	True
FUCA1	0.1423318792114266	0.009407946360030181		True	True
FUNDC2P2	0.1458468414305816	0.007775179455414871		True	True
FURIN	0.11205342799992281	0.04130649399820224		False	False
FUT1	0.14646996942528384	0.007513686691290022		True	True
FUT4	0.2165765966718211	6.93071828739802e-05		True	True
FUT7	0.1496844163391564	0.006285488194941665		True	True
FUT8	0.14652735666014355	0.007490003740302861		True	True
FXR1	0.38981098312083	1.7131776333042894e-13		True	True
FXYD1	0.26106274095885107	1.4160109246756268e-06		True	True
FXYD2	0.039203956251485136	0.4765207292226237		False	False
FXYD3	0.034496915878026745	0.531066055510928		False	False
FXYD4	0.03867065393201631	0.4825431981413979		False	False
FXYD6	0.09043680434095418	0.09997095525326262		False	False
FYB	0.05192860433901418	0.3455519588075434		False	False
FYTTD1	0.38567331048534415	3.227627056353998e-13		True	True
FZD1	0.07524560850010491	0.17137186457432613		False	False
FZD4	0.16416387678324235	0.0026970732795024766		True	True
FZD5	0.2954232771445656	4.123453517519413e-08		True	True
FZD7	0.2003153486700294	0.00023929376538812637		True	True
FZD8	0.13269540880274852	0.01554551167349205		True	True
FZD9	0.06607687687425179	0.22984829332440948		False	False
G0S2	0.11820749248649136	0.031297126723077426		False	False
G2E3	0.2293286903657093	2.4520228230975323e-05		True	True
G3BP1	0.18974222507747862	0.0005092257065355352		True	True
G3BP2	0.23257753284551838	1.863700518687836e-05		True	True
G6PC2	-0.04142305593618458	0.45190658623899305		False	False
G6PC3	0.19179093367787312	0.0004412562219849052		True	True
GAA	0.04054151545356726	0.46159790819831226		False	False
GABARAP	0.42864823298711513	2.860151038811343e-16		True	True
GABARAPL1	-0.0010895274279452436	0.984221053390988		False	False
GABARAPL2	0.559276003711033	1.0273039978763619e-28		True	True
GABBR1	0.09153582780686915	0.09589900724767163		False	False
GABPB1	0.13664598310406517	0.012698385014776397		True	True
GABRA6	-0.043283397730663836	0.4318352784227967		False	False
GABRB3	-0.022507926032754824	0.6828193459559139		False	False
GABRE	0.05159770597326513	0.3486384591670889		False	False
GABRP	0.13465409863237496	0.014070698035073978		True	True
GABRR1	-0.015291303513164801	0.7813300305132929		False	False
GAD1	-0.28837199617617787	8.862794634610504e-08		True	False
GAD2	0.11527300370090852	0.035776755365759694		False	False
GADD45A	-0.09347253198895472	0.08904599523606237		False	False
GADD45B	0.2692512392245468	6.366633861739953e-07		True	True
GADD45G	0.17357111734199085	0.0014992962600292635		True	True
GAGE10	0.11634270069326104	0.034084494077942534		False	False
GAL	0.046814894752623855	0.39518218905011404		False	False
GAL3ST1	0.16957333955847523	0.0019312571507295912		True	True
GALE	0.23413316132884043	1.6319897007550985e-05		True	True
GALNT1	0.18078694661786948	0.0009363727239373072		True	True
GALNT3	0.2093878661652605	0.00012127729893865843		True	True
GALNT4	0.045332557684195994	0.4103337083593208		False	False
GALNT5	-0.0975724732485638	0.07583381539863422		False	False
GALNT8	0.11922106281503524	0.029865484135093705		False	False
GALP	0.10773647217841462	0.049836998325462144		False	False
GALR1	-0.014893066448762747	0.7868863080851232		False	False
GALR2	0.22013927499732044	5.215820959546572e-05		True	True
GALR3	0.008325784920717004	0.8798704245686841		False	False
GALT	0.28459620355837817	1.3237934581156403e-07		True	True
GAMT	0.14512303566750476	0.008089087547897012		True	True
GANC	0.4298442333038481	2.317509332715897e-16		True	True
GAP43	0.10593972740507464	0.05379751086145157		False	False
GAPDHS	0.1127291972178118	0.04008959959055362		False	False
GAPT	0.13062115747093075	0.01725329323797661		True	True
GAR1	0.19489442337344146	0.0003541783340149815		True	True
GART	0.14845852238090623	0.006730898429090028		True	True
GAS1	0.03980827544757795	0.4697461178426079		False	False
GAS2L1	0.35258727950561486	3.745342704381048e-11		True	True
GAS2L2	0.1740372521342584	0.0014551707847332044		True	True
GAS2L3	0.12159127865964682	0.026734783431266337		True	True
GAS5	0.3107231429244724	7.2906629898249256e-09		True	True
GAST	0.06416862927673532	0.24361431768916791		False	False
GATA1	0.05015795471178825	0.3622700533073562		False	False
GATA2	-0.13236031705859605	0.015810948704640577		True	False
GATA3	0.04973677063191599	0.36631983613447916		False	False
GATA5	0.11206563746322332	0.04128423457193776		False	False
GATAD1	0.1703640480866698	0.0018377194347316845		True	True
GATC	0.11886295292319154	0.030364768427558055		False	False
GATM	0.019164413346053417	0.727909899094114		False	False
GATSL2	0.09482229414051543	0.08450638759730714		False	False
GATSL3	0.08204630181844387	0.13574304080703992		False	False
GBA2	0.3198793828108303	2.4625937741998556e-09		True	True
GBA3	0.047306868572311644	0.39022891519821623		False	False
GBAS	0.17171190667170041	0.0016877747397281856		True	True
GBGT1	-0.055240329184632446	0.31562117201967776		False	False
GBP1	0.26429125213598936	1.036506802915483e-06		True	True
GBP2	0.03882422702633634	0.4808047204259761		False	False
GBP3	-0.014729257883485464	0.7891749521454705		False	False
GBP4	0.16448258836100313	0.002645238516522949		True	True
GBP5	0.1972424923425943	0.00029923618250618056		True	True
GBP6	0.06346379383703281	0.24884192455436463		False	False
GBX1	-0.031633072391626514	0.5657297042691685		False	False
GBX2	-0.036743997999754786	0.5046394481455025		False	False
GC	-0.053401088859234384	0.3320282323336562		False	False
GCC1	0.36052084009208707	1.2582904242453004e-11		True	True
GCC2	0.0745826912861299	0.17518676909982756		False	False
GCDH	0.4171295172127438	2.0799110566516954e-15		True	True
GCG	0.1184817576557034	0.03090406507853925		False	False
GCH1	0.20403458884781722	0.0001817523374120696		True	True
GCK	0.11606012901848597	0.03452476610830132		False	False
GCM1	0.1505816482959285	0.005976426679522767		True	True
GCM2	0.14074069270202016	0.010242374289516304		True	True
GCNT1	0.12364484079229324	0.024254654776711664		True	True
GCNT4	0.039980848069300294	0.46782129552866125		False	False
GCSH	0.247096565593516	5.209288568473777e-06		True	True
GDAP1L1	0.2575033168163654	1.987838694357824e-06		True	True
GDAP2	0.19709897416015332	0.0003023520546312981		True	True
GDE1	0.2419267396777328	8.27725682380375e-06		True	True
GDF10	0.027361760022848118	0.6193528991409839		False	False
GDF11	0.00896937526649911	0.8706627757805707		False	False
GDF2	0.07431859264784968	0.176724029063393		False	False
GDF3	0.02401455176112537	0.6628523166604363		False	False
GDF5	-0.12790888423727909	0.019732023337034475		True	False
GDF6	0.15203066131776322	0.005505998719703634		True	True
GDF7	0.10167724245937647	0.06424750492302841		False	False
GDF9	0.12395283462283455	0.02390035853426833		True	True
GDI1	0.1330891934051317	0.01523857780859957		True	True
GDNF	-0.12478214786290905	0.022968501062275427		True	False
GDPD2	0.10017261073269113	0.06831316231639176		False	False
GDPD4	0.036088314956739316	0.5122785923088156		False	False
GEM	-0.007651619236523696	0.8895328551751129		False	False
GEMIN6	0.22605252446868576	3.22066552811182e-05		True	True
GEMIN8	0.02793507890428962	0.61202810154637		False	False
GEMIN8P4	0.25620151932174995	2.247604918371883e-06		True	True
GEN1	0.2906214625219224	6.958871967085421e-08		True	True
GFAP	-0.003582955795807204	0.9481433123005371		False	False
GFER	0.3635449176408823	8.236290704679104e-12		True	True
GFM1	0.3636606449214671	8.103074503688998e-12		True	True
GFOD1	0.3384990327511368	2.4139321061942377e-10		True	True
GFPT2	0.06708589578807014	0.22279608606942913		False	False
GGA2	0.3692708415353224	3.646771276688659e-12		True	True
GGCT	0.16474000810127928	0.002604035696907288		True	True
GGCX	0.42726428695544283	3.64471663197786e-16		True	True
GGH	0.2693292285985053	6.317535854219241e-07		True	True
GGN	0.031148323162516717	0.5717023519316451		False	False
GGNBP1	0.09489171157045125	0.08427805369693935		False	False
GGT1	0.025115172899928317	0.6484142823938432		False	False
GGTLC1	-0.11328086230727688	0.039118758833253026		False	False
GH1	0.0629766846644437	0.2525000213674886		False	False
GH2	0.08483118375015004	0.12291574873739006		False	False
GHDC	0.28279983289635696	1.5989102905923281e-07		True	True
GHITM	0.2819195635009503	1.753064507913965e-07		True	True
GHRHR	0.050185684105817904	0.362004411909595		False	False
GHRL	0.16176579936713642	0.003117698097524199		True	True
GHRLOS	0.17151693761116704	0.0017087478513158592		True	True
GHSR	0.1701363765826101	0.0018642180722926375		True	True
GIF	-0.00039095813640157537	0.9943376768895182		False	False
GIGYF1	0.19197413449808307	0.00043560813424969115		True	True
GIMAP1	0.10896732537335642	0.04726677747171005		False	False
GIMAP2	0.11714221535469029	0.032864575963467646		False	False
GIMAP4	0.153393318290548	0.005094244553174878		True	True
GIMAP6	0.13061246910587368	0.017260778052248665		True	True
GIMAP8	0.12760521536228903	0.020027937539467147		True	True
GIN1	0.2722967676385122	4.697087620672272e-07		True	True
GINS1	0.3915332498805703	1.3126818565673932e-13		True	True
GINS2	0.218670066139033	5.867844983362118e-05		True	True
GIP	0.06969936618707545	0.20525040154945778		False	False
GIPC3	0.19838976459158966	0.00027538313695771836		True	True
GIPR	0.07946530226577628	0.14852775140223154		False	False
GJA1	0.017988603818373507	0.7440020803046506		False	False
GJA10	0.07417304034315197	0.17757552254240996		False	False
GJA3	0.07159595211421604	0.1931589877010749		False	False
GJA4	-0.07594426143660254	0.16741868364392531		False	False
GJA9	0.06061491704670274	0.2707644934564807		False	False
GJB1	-0.012312455415399172	0.8231417504667167		False	False
GJB2	0.02952545062728186	0.5919121363508669		False	False
GJB3	0.26170058606912194	1.3318007131881921e-06		True	True
GJB4	0.13326171000393788	0.01510579227242583		True	True
GJB5	0.03863086273411081	0.48299419638031216		False	False
GJB6	-0.02635176479645813	0.6323483427202885		False	False
GJB7	0.10131603187534738	0.06520492623083414		False	False
GJC1	0.08084533666652227	0.14158251604057412		False	False
GJC2	0.009369400419249496	0.8649484397937912		False	False
GJD2	-0.004170805750053363	0.9396502962492277		False	False
GJD4	0.03750926214353976	0.4957997969225614		False	False
GK	0.07568755984301273	0.16886317451958158		False	False
GK2	-0.005992858595086009	0.913373642506377		False	False
GK3P	0.18551891193080638	0.0006810347611461756		True	True
GKAP1	0.1589936905673236	0.003677525156921378		True	True
GKN1	-0.0195774653542565	0.7222846581679222		False	False
GKN2	-0.008711397121984946	0.8743515662034511		False	False
GLA	-0.03403767176297644	0.5365516886511701		False	False
GLB1L	0.09606729930097845	0.08048615031655243		False	False
GLDN	-0.12591202980231256	0.021749566357392426		True	False
GLI1	-0.00654454768601082	0.9054347174273085		False	False
GLI4	0.2373679655862435	1.2346830154636234e-05		True	True
GLIPR1	0.0030088699440299735	0.9564431423358098		False	False
GLIPR1L1	0.004634667057126517	0.9329533892488528		False	False
GLIPR2	0.071919907723673	0.19114684723244563		False	False
GLIS2	0.16031108155212348	0.003401023967612531		True	True
GLMN	0.10855854017272643	0.04810779327803447		False	False
GLO1	0.2770304292464991	2.9061139854946394e-07		True	True
GLOD5	0.03727742537979861	0.49846905290667864		False	False
GLP1R	0.07554700192760762	0.16965804436058884		False	False
GLRA3	0.12079288520170622	0.027756270963571975		True	True
GLRA4	0.02937967115479621	0.5937434120787364		False	False
GLRX	0.15236111140966255	0.005403490168446		True	True
GLRX2	0.40076373835197604	3.067389673414385e-14		True	True
GLRX3	0.40145821320355796	2.744516354464232e-14		True	True
GLRX5	0.38872756834369643	2.0239692569775335e-13		True	True
GLS	0.2528032026503268	3.08749745242784e-06		True	True
GLT6D1	0.04327803811459112	0.43189235498030076		False	False
GLT8D1	0.37383720945618143	1.8822530786708023e-12		True	True
GLTP	0.24792936382604477	4.830211600292821e-06		True	True
GLTPD2	0.13876033752298542	0.011372048811086834		True	True
GLTSCR2	0.09425505086280554	0.08639093862783025		False	False
GLUD1	0.32481660599265944	1.3506533167320427e-09		True	True
GLUD2	-0.007966195664109726	0.8850220891554844		False	False
GLUL	0.33972546769090395	2.060050502485741e-10		True	True
GLYAT	-0.026548857697707505	0.6298033208503759		False	False
GLYATL1	-0.09466036893320359	0.08504094305495886		False	False
GLYATL2	0.012614166279330917	0.8188819031421237		False	False
GLYATL3	-0.16408443284567312	0.0027101369601213003		True	False
GLYCAM1	0.085301707833051	0.12084476123600688		False	False
GLYCTK	0.1663601663281705	0.00235784263909231		True	True
GMFB	0.2120979294727759	9.842956925958103e-05		True	True
GMFG	0.09877668069176716	0.07227109951500046		False	False
GMIP	0.20842593075530344	0.00013052104379108887		True	True
GML	-0.04959407337395946	0.36769825398321276		False	False
GMNN	0.32828530220599295	8.799328020345248e-10		True	True
GMPPA	0.18386714398720813	0.0007617618790591079		True	True
GMPPB	0.21862144586622964	5.890683105258997e-05		True	True
GMPR2	0.31067956788117046	7.327777065713286e-09		True	True
GNA12	0.32646072200630066	1.1031394410796646e-09		True	True
GNA13	0.2924759063531629	5.691965091541927e-08		True	True
GNAI1	0.005462709525448109	0.9210107278538624		False	False
GNAI2	0.3697974557405997	3.3807574927577886e-12		True	True
GNAS	0.15233992443802552	0.005410010728647575		True	True
GNAT2	0.10256241335064942	0.061950050660527334		False	False
GNAT3	0.04457345207862467	0.41822404128165314		False	False
GNB2	0.3471700204773749	7.752670535066776e-11		True	True
GNB3	0.13585973951647265	0.013225309951215883		True	True
GNB4	0.22359103056648708	3.942600228801932e-05		True	True
GNE	0.1910329047676657	0.00046535723914897657		True	True
GNG10	0.19182819359488767	0.0004401020142474626		True	True
GNG11	-0.03688168810723537	0.5030428959935098		False	False
GNG12	-0.11409786017069355	0.03771753495452762		False	False
GNG2	0.05697422183609311	0.30064774760614343		False	False
GNG3	0.1662663451080228	0.0023714991333988627		True	True
GNG5	0.30562626667203885	1.3130630165687193e-08		True	True
GNG8	0.11262864312402895	0.04026873280361482		False	False
GNGT1	0.1440111732102399	0.008593314043451032		True	True
GNGT2	0.0965226225326196	0.07905506226300281		False	False
GNL2	0.24062712869267874	9.284208665598854e-06		True	True
GNL3	0.2745437152105481	3.7440534931554353e-07		True	True
GNL3L	0.17323406337452738	0.0015319634169845538		True	True
GNLY	-0.026812735106927228	0.6264027659995686		False	False
GNMT	0.10245038217326445	0.06223703208175393		False	False
GNPDA1	0.19625126681690047	0.00032138186062392513		True	True
GNPDA2	0.12034991836175879	0.02833733400220029		False	False
GNPNAT1	0.15816350999926035	0.003862059331736841		True	True
GNPTAB	0.20619906261578147	0.00015451721474564524		True	True
GNPTG	0.18990760171211493	0.0005033979336290273		True	True
GNRH1	0.27568024047881934	3.3357180826344835e-07		True	True
GNRH2	0.06494147445913868	0.23797112700781808		False	False
GNRHR	-0.04694829677563701	0.3938353509828585		False	False
GNS	0.11430301462397106	0.03737243036961202		False	False
GOLGA2	0.3400858686250318	1.9660245936613413e-10		True	True
GOLGA5	0.18333328141536312	0.0007896882248959602		True	True
GOLGA6B	-0.1259979097563734	0.021659252971796168		True	False
GOLGA7	0.490122052696963	1.82615525349841e-21		True	True
